title,year,description,rank,min_player,max_player,min_time,max_time,avg_rating,num_rating,std_dev_rating,weight,num_comment,num_fan,num_view,total_play,month_play,num_own,num_wish,min_age
London (Second Edition),2017,Draft cards; avoid debt; and run your industrial engine to rebuild London.,371,2,4,60,90,7.555,5784,1.16,2.72,945,232,411443,16531,13,8468,1547,14
Civilization,1980,Expand and develop your historical empire while trading with competing civilizations.,372,2,7,360,360,7.497,7284,1.6,3.65,2275,390,770264,5132,0,10546,942,12
Twice as Clever!,2019,Roll colorful dice; choosing just one each roll to combo bonuses and points!,373,1,4,30,30,7.476,6967,1.17,2.34,1041,172,289913,69531,89,12428,974,10
Dice Forge,2017,Control luck itself! Choose to forge improved dice or complete quests for rewards.,374,2,4,45,45,7.26,18353,1.22,1.97,2579,665,904784,77730,56,27941,3818,10
Nippon,2015,Build an Industrial empire out of a small Business in Japan's Meiji Period.,375,2,4,60,120,7.665,4599,1.22,3.79,756,224,439677,12323,6,4669,1671,12
Codenames: Pictures,2016,Give your team one-word coded clues; trying to identify specific image cards.,376,2,8,15,15,7.222,19644,1.27,1.24,2760,296,486035,85247,25,33971,1715,10
Dune,1979,Use unique strengths; treachery; and cunning to gain control of the Spice.,377,2,6,60,180,7.61,5669,1.69,3.45,2028,639,1338671,6741,2,6534,2353,12
Arkham Horror,2005,Work as a team to save the town of Arkham from monsters and a Great Old One.,378,1,8,120,240,7.248,38084,1.71,3.58,8705,5067,3786071,77321,22,50728,4871,14
Advanced Squad Leader,1985,Play through historical scenarios in this exhaustive squad-level WWII game system.,379,2,2,120,480,8.003,3678,2.07,4.74,1497,824,1224783,18090,8,6049,869,14
Oath: Chronicles of Empire and Exile,2021,Change the course of history as empires rise and fall and your tale becomes legend.,380,1,6,45,150,7.918,4017,1.82,4.04,1080,1219,1471942,9497,33,10071,5242,10
Space Hulk (Third Edition),2009,Space Marines combat Genestealers in the cramped corridors of a derelict spaceship.,381,2,2,60,60,7.531,6911,1.81,2.78,1694,1077,1264006,10217,1,9832,1543,12
Claustrophobia,2009,Fight for glory and redemption against endless waves of Hell's minions.,382,2,2,45,45,7.49,6844,1.38,2.48,1760,735,1153248,17029,4,9329,3120,14
Stockpile,2015,Bid; buy and sell stocks in this hidden-information game.,383,2,5,45,45,7.507,6301,1.23,2.11,1258,273,451804,17938,10,7264,2139,13
Thunderstone Quest,2018,Recruit powerful heroes; arm your party and dungeon delve for Thunderstone Shards!,384,2,4,60,90,7.846,3810,1.37,2.84,998,471,748973,13656,12,10751,2007,14
Mice and Mystics,2012,After being turned into mice; a prince and his allies experience giant-sized stories.,385,1,4,60,90,7.267,18184,1.42,2.72,3759,1974,2086197,45450,10,36036,7673,7
Macao,2009,Deliver goods; build the city and your tableau using a unique dice selection method.,386,2,4,50,100,7.417,7218,1.33,3.14,1777,302,664851,25025,10,6686,2332,12
Fresco,2010,Buy and mix paints to restore the Renaissance fresco and earn the Bishop's favor.,387,2,4,60,60,7.269,12505,1.15,2.63,2562,395,811541,24716,5,15168,2377,10
Santa Maria,2017,Build and maximize your polyomino colony in the New World.,388,1,4,45,90,7.506,6094,1.19,3.05,1035,209,430922,18813,16,8187,1571,12
The Manhattan Project,2012,Help your nation gain the best arsenal of atomic bombs.,389,2,5,120,120,7.341,9525,1.26,2.96,1932,441,705786,19359,7,12030,2600,13
Carnegie,2022,Become the most influential entrepreneur and benefactor of your era!,390,1,4,120,180,8.029,2924,1.27,3.79,619,763,467753,10414,207,4798,1808,12
Firefly: The Game,2013,Find a crew. Find a job. Keep flying. Cross the 'verse to complete jobs and get paid.,391,1,4,120,240,7.391,11234,1.57,2.95,2470,1532,1395619,20685,2,20747,2413,13
Millennium Blades,2016,Play as players who are playing the greatest CCG in the universe.,392,2,5,80,120,7.712,4475,1.56,3.68,977,965,702225,7976,4,6958,1850,12
Sprawlopolis,2018,Build the best metropolis by following the planning rules with this 18-card deck.,393,1,4,15,20,7.411,7659,1.14,1.84,1740,418,430494,68256,128,17198,2500,8
Spartacus: A Game of Blood and Treachery,2012,Barter; buy; bid; deceive; and fight your way to become the dominant dominus in Rome.,394,3,4,120,180,7.472,7949,1.55,2.72,1497,647,741970,13546,3,10827,1464,17
Flash Point: Fire Rescue,2011,Smoke! Fire! Work as a team to save as many as you can from a blazing inferno.,395,2,6,45,45,7.181,22633,1.25,2.2,4415,1184,1344981,76909,22,35693,4278,10
7 Wonders (Second Edition),2020,Draft cards to develop your ancient civilization and build its Wonder of the World.,396,3,7,30,30,7.99,3257,1.26,2.19,404,208,189160,14754,58,6173,959,10
Schotten Totten,1999,Place your kilted clansmen; control stones; expand territory & foil the rival clan.,397,2,2,20,20,7.332,9397,1.2,1.72,1779,207,503305,53980,56,15313,1612,8
The King Is Dead: Second Edition,2020,A subtle game of shifting power and control over medieval Britain.,398,2,4,30,45,7.758,3903,1.14,2.15,666,237,341977,10572,30,7168,2225,14
Biblios,2007,Amass the greatest library of sacred texts; using your wits and meager gold supply.,399,2,4,30,30,7.206,16484,1.18,1.68,3919,486,835015,77984,40,20874,3545,10
Skull,2011,Does the token hide a flower or skull? Bid; bluff and laugh with striking components.,400,3,6,15,45,7.201,18208,1.41,1.13,2938,455,762582,91296,93,27322,3641,10
Smartphone Inc.,2018,Success is measured in money as you build your global smartphone empire.,401,1,5,60,90,7.653,4410,1.19,2.73,807,210,419992,10892,17,7098,2278,12
Imperial Settlers: Empires of the North,2019,Lead one of 6 asymmetric factions to build an empire and conquer new islands.,402,1,4,45,90,7.518,5841,1.34,2.83,975,364,549653,20418,14,10378,2876,10
Kingsburg,2007,Grow your realm; influence members of the King's court and fight the forces of winter,403,2,5,90,90,7.184,18994,1.23,2.43,3951,641,1072593,54404,8,17605,3433,13
Lancaster,2011,Position your knights to gain influence and power to strengthen and grow your kingdom,404,2,5,60,60,7.407,7068,1.19,3.0,1508,267,633087,14071,4,8027,1632,10
Wavelength,2019,Read your teammates’ minds in this pinpoint party game of infinite possibilities.,405,2,12,30,45,7.388,8069,1.28,1.12,1198,235,347673,26804,28,13844,2837,14
A Few Acres of Snow,2011,Card-driven game about the 18th century French-Indian War.,406,2,2,60,90,7.383,7695,1.49,3.04,1986,562,1092616,21098,3,9115,2937,14
Point Salad,2019,Collect groupings of fruits and vegetables with loads of ways to score points!,407,2,6,15,30,7.236,13685,1.11,1.18,1890,322,378237,92972,141,23083,2176,8
Glen More,2010,Clan chiefs compete for glory and profit in the Scottish Highlands.,408,2,5,45,70,7.308,8990,1.16,2.67,2054,336,664409,30491,9,8231,2033,10
