title,year,description,rank,min_player,max_player,min_time,max_time,avg_rating,num_rating,std_dev_rating,weight,num_comment,num_fan,num_view,total_play,month_play,num_own,num_wish,min_age
Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,1,1,4,60,120,8.707,51509,1.65,3.88,9091,8363,11543527,430588,226,83201,18396,14
Brass: Birmingham,2018,Build networks; grow industries; and navigate the world of the Industrial Revolution.,2,2,4,60,120,8.656,29812,1.25,3.91,4341,2508,2496821,77733,109,44160,12865,14
Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,3,2,4,60,60,8.578,47259,1.56,2.83,7117,3150,3658924,257022,89,73987,12126,13
Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,4,1,4,30,120,8.603,21472,1.43,3.61,3148,2199,1933968,107064,163,50331,6715,14
Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,5,1,5,120,120,8.402,80600,1.39,3.25,11660,7350,7018114,483548,427,110997,19989,12
Twilight Imperium: Fourth Edition,2017,Build an intergalactic empire through trade; research; conquest and grand politics.,6,3,6,240,480,8.646,17868,1.62,4.27,2731,2092,2806845,28039,21,22576,9577,14
Ark Nova,2021,Plan and build a modern; scientifically managed zoo to support conservation projects.,7,1,4,90,150,8.651,13752,1.31,3.71,2003,1686,1944609,60821,734,22075,8285,14
Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8,2,4,180,240,8.419,27304,1.37,3.73,4175,2587,3809860,41215,24,42124,11668,14
Gaia Project,2017,Expand; research; upgrade; and settle the galaxy with one of 14 alien species.,9,1,4,60,150,8.448,21434,1.39,4.38,3059,1831,2694672,77967,121,26757,10792,12
Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,10,1,4,90,120,8.369,37061,1.48,4.05,5932,3859,4286495,191894,443,55078,17452,13
War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,11,2,4,150,180,8.518,16862,1.48,4.19,2996,2009,3012070,26061,22,27553,9552,13
Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,12,2,4,120,120,8.355,27221,1.51,4.43,4027,1848,3203318,105700,110,31705,8586,14
Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,13,2,4,75,150,8.277,35426,1.27,3.7,4653,1975,2999091,119305,97,41609,10345,12
Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,14,2,2,120,180,8.271,44521,1.58,3.6,9405,4429,5220785,116412,29,61813,11179,13
Dune: Imperium,2020,Influence; intrigue; and combat in the universe of Dune.,15,1,4,60,120,8.334,22984,1.26,3.0,3214,2149,2379834,67578,261,33474,9482,14
Scythe,2016,Five factions vie for dominance in a war-torn; mech-filled; dieselpunk 1920s Europe.,16,1,5,90,115,8.201,69589,1.44,3.43,10520,7098,6782721,244166,141,93413,20247,14
The Castles of Burgundy,2011,Plan; trade; and build your Burgundian estate to prosperity and prominence.,17,2,4,30,90,8.129,53591,1.24,3.0,8629,2934,3544285,261379,183,70099,10699,12
Nemesis,2018,Survive an alien-infested spaceship but beware of other players and their agendas.,18,1,5,90,180,8.35,21139,1.51,3.4,3445,3200,2840648,47808,64,30737,9970,12
7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,19,2,2,30,30,8.104,75850,1.19,2.22,10223,3567,2533690,358096,512,122105,9381,10
Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,20,2,4,60,120,8.186,21908,1.36,3.86,4694,1757,2386682,66803,23,28788,5564,14
Concordia,2013,Traders compete to build the greatest empire in the Roman Mediterranean.,21,2,5,100,100,8.119,33916,1.19,3.01,5346,1662,2417864,110410,51,39329,9754,13
A Feast for Odin,2016,Puzzle together the life of a Viking village as you hunt; farm; craft; and explore.,22,1,4,30,120,8.197,22651,1.36,3.85,3533,1455,2311121,77392,103,29721,12035,12
Terra Mystica,2012,Play fantastical factions.,23,2,5,60,150,8.109,43457,1.47,3.97,6423,3426,4411098,140425,64,47405,13216,12
Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife reserve.,24,1,5,40,70,8.088,65234,1.34,2.45,8944,4996,3110485,397526,589,98710,15127,10
Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,25,1,2,60,120,8.153,36121,1.52,3.5,5691,4309,6638912,230270,297,64940,9095,14
Clank!: Legacy – Acquisitions Incorporated,2019,"""Go forth; be bold; and ACQUIRE!"" in this campaign version of ""Clank!""",26,2,4,90,120,8.639,6274,1.38,2.71,1028,514,697805,37775,76,12360,4774,13
Eclipse: Second Dawn for the Galaxy,2020,Build an interstellar civilization by exploration; research; conquest; and diplomacy.,27,2,6,60,200,8.591,7541,1.34,3.6,1205,1128,1557867,13134,26,11509,5943,14
Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,28,2,4,60,90,8.095,36606,1.43,3.74,5439,3794,3870151,118339,214,55949,16110,10
Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,29,1,6,45,90,8.038,38765,1.26,2.88,5270,2024,1840360,127992,149,53360,10799,13
Everdell,2018,Gather resources to develop a harmonious village of woodland critters and structures.,30,1,4,40,80,8.084,35583,1.28,2.81,4848,3399,2745468,135186,400,54354,15147,13
Orléans,2014,Craftsmen; scholars & monks can help you reign supreme—but who will turn up to help?,31,2,4,90,90,8.07,26388,1.16,3.04,3902,1305,1895198,80003,64,32695,7575,12
Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,32,1,4,30,120,8.102,25197,1.21,2.88,3265,1826,1989010,106991,314,38484,9827,12
Mage Knight Board Game,2011,Build your hero’s spells; abilities; and artifacts as you explore & conquer cities.,33,1,4,60,240,8.093,30428,1.63,4.34,5987,4269,4718901,70268,36,42377,11271,14
Food Chain Magnate,2015,Strategically hire and manage your workforce to outcompete rival fast food chains.,34,2,5,120,240,8.105,16794,1.58,4.21,2895,1200,2060053,41512,18,20832,8631,14
Marvel Champions: The Card Game,2019,Battle Marvel villains with unique teams of iconic heroes in this LCG.,35,1,4,45,90,8.188,16975,1.43,2.89,2287,2140,3006855,292858,866,29097,4567,14
Puerto Rico,2002,Ship goods; construct buildings; and choose roles that benefit you more than others.,36,3,5,90,150,7.951,66958,1.39,3.28,12421,3897,4085483,180639,25,77454,9475,12
Barrage,2019,Nations vie for hydroelectric dominance in a dystopia where water is power.,37,1,4,60,120,8.22,11434,1.44,4.07,1799,941,1218784,28953,126,15343,5110,14
Too Many Bones,2017,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,38,1,4,60,120,8.406,8923,1.53,3.86,1769,2257,2178132,39533,68,13245,8795,12
Caverna: The Cave Farmers,2013,From a simple cave; expand your dwarven home through mining; agriculture; and more.,39,1,7,30,210,7.989,30915,1.34,3.79,4943,1980,2601106,68793,19,39730,10905,12
Blood Rage,2015,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,40,2,4,60,90,7.974,40249,1.41,2.88,6016,2861,3246177,81913,56,48153,11886,14
Agricola,2007,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,41,1,5,30,150,7.912,67884,1.55,3.64,13183,6014,5126261,259354,53,80387,11372,12
Pax Pamir: Second Edition,2019,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",42,1,5,45,120,8.326,8658,1.42,3.83,1696,971,1211546,28338,63,14371,4388,13
Underwater Cities,2018,Develop future cities on the seafloor through politics; production; and science.,43,1,4,80,150,8.091,14538,1.19,3.6,2140,803,1164328,52559,75,19416,6459,12
Maracaibo,2019,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,44,1,4,30,120,8.138,12398,1.28,3.89,1847,918,1347541,42751,79,18313,5981,12
Pandemic Legacy: Season 2,2017,The world is a mystery after a devastating pandemic—where will your team go?,45,2,4,60,60,8.082,14583,1.69,3.25,2259,646,1072836,106872,36,28290,4432,14
Anachrony,2017,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,46,1,4,30,120,8.111,14623,1.39,4.01,2568,2615,1738245,32702,25,19088,7074,15
Mansions of Madness: Second Edition,2016,Unravel mysteries in Arkham with your investigative team in this app-guided game.,47,1,5,120,180,8.001,30624,1.49,2.66,4125,2587,3141923,75762,51,47926,11390,14
The Crew: The Quest for Planet Nine,2019,Go on a planet-discovering space mission in this cooperative trick-taking game.,48,2,5,20,20,7.918,30252,1.28,2.01,3915,1054,1139215,428640,470,59239,5067,10
Tzolk'in: The Mayan Calendar,2012,Lead your people; build monuments and make offerings to earn the favour of the gods.,49,2,4,90,90,7.886,34890,1.26,3.67,5139,1684,1959746,102363,51,40776,8609,13
On Mars,2020,Be a part of the first Martian colony; striving to be the best contributor.,50,1,4,90,150,8.239,9107,1.49,4.66,1636,2198,1504620,22355,46,15572,6213,14
Power Grid,2004,Bid; network; and manage resources in a race to supply the most cities with power.,51,2,6,120,120,7.835,60418,1.34,3.26,10832,3223,3512715,140308,43,72769,10855,12
The Crew: Mission Deep Sea,2021,Dive into the deep sea in this co-operative trick-taking game.,52,2,5,20,20,8.358,6538,1.23,2.02,953,280,280117,90402,332,15017,2894,10
Clans of Caledonia,2017,Lead your unique Scottish clan to economic might via production; trade; and export.,53,1,4,30,120,7.971,17846,1.17,3.47,2656,1068,1496690,58270,28,20195,5976,12
Le Havre,2008,Establish a supply chain by collecting resources; building industries; and shipping.,54,1,5,30,150,7.866,29090,1.41,3.73,5632,1688,2323726,75832,18,33503,9148,12
Star Wars: Imperial Assault,2014,Play as Rebel or Imperial forces to fulfill mission objectives.,55,1,5,60,120,7.988,22618,1.42,3.3,3395,2914,3643811,83850,33,38618,6774,14
Kingdom Death: Monster,2015,Try to survive in a nightmarish world that lies under eternal darkness.,56,1,4,60,180,8.567,8514,1.99,4.26,1937,2760,4881559,41999,28,11440,6263,17
Mechs vs. Minions,2016,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,57,2,4,60,120,8.008,15809,1.34,2.42,2498,1056,1913042,56972,33,22357,7343,14
Crokinole,1876,Flick discs and make trick shots in this traditional Canadian dexterity game!,58,2,4,30,30,7.975,14472,1.62,1.25,3044,662,1076633,161737,103,13194,5139,8
The Quacks of Quedlinburg,2018,Pull ingredients from your stock to make your pot bubble; but hopefully not explode!,59,2,4,45,45,7.849,34971,1.24,1.95,4655,1520,1540795,168538,176,53536,9292,10
Pandemic Legacy: Season 0,2020,Work together during the Cold War to prevent a Soviet bio-threat.,60,2,4,45,60,8.554,4794,1.5,3.1,742,291,380727,38995,31,11714,3300,14
The Gallerist,2015,Amass a fortune; and stake your reputation by operating a lucrative art gallery.,61,1,4,60,150,8.05,12024,1.35,4.27,2090,960,1189741,27992,28,16575,5800,13
Lisboa,2017,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,62,1,4,60,120,8.194,8614,1.44,4.57,1675,846,1130189,20551,16,13333,4832,12
Cascadia,2021,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,63,1,4,30,45,8.037,12710,1.09,1.87,1947,1047,834981,70718,568,21675,7353,10
Paladins of the West Kingdom,2019,Invaders are coming from everywhere.,64,1,4,90,120,8.021,13063,1.23,3.7,1918,980,951642,37591,49,22291,4840,12
Azul,2017,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,65,2,4,30,45,7.783,69675,1.15,1.76,8756,2943,2462790,448667,535,106384,11634,8
The 7th Continent,2017,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,66,1,4,5,1000,7.98,19915,1.65,2.9,4180,3752,4263502,64745,25,34815,10787,14
Eclipse,2011,Build an interstellar civilization by exploration; research; conquest; and diplomacy.,67,2,6,60,180,7.864,27222,1.5,3.7,4933,2918,3597251,52184,3,27251,7041,14
Android: Netrunner,2012,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,68,2,2,45,45,7.875,28365,1.67,3.4,5877,4040,4598376,321727,140,43577,4939,14
Aeon's End,2016,Mages defend humanity’s last city; harnessing alien powers to destroy monstrosities.,69,1,4,60,60,7.981,15691,1.34,2.79,2617,1612,1564682,82690,90,23117,6290,14
Through the Ages: A Story of Civilization,2006,Lead your civilization through strategic drafting of leaders; technologies; and more.,70,2,4,120,120,7.888,18608,1.69,4.17,4089,1475,2633136,69257,1,17762,4248,12
Race for the Galaxy,2007,Worlds await! Colonize; develop and conquer taking advantage of others' choices.,71,2,4,30,60,7.757,50714,1.47,2.99,10265,3611,3516881,592868,406,62375,9733,12
Clank!: A Deck-Building Adventure,2016,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,72,2,4,30,60,7.812,34899,1.2,2.22,4595,1799,2096914,120867,94,46114,9851,12
Five Tribes,2014,Move assassins; elders & builders through Naqala to claim oases & control djinns.,73,2,4,40,80,7.783,36682,1.27,2.85,5469,1647,1777857,103875,84,48178,10282,13
Fields of Arle,2014,Construct dikes; drain bogs; harvest flax and tend to newborn animals in East Frisia.,74,1,2,60,120,8.06,9589,1.28,3.87,1789,588,1101951,28803,21,14562,5257,13
Robinson Crusoe: Adventures on the Cursed Island,2012,Work together — with friends or with Friday — to survive on a deserted island.,75,1,4,60,120,7.8,38856,1.43,3.8,6517,3504,4052282,101831,38,61133,11765,14
Teotihuacan: City of Gods,2018,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,76,1,4,90,120,7.904,16539,1.29,3.78,2372,973,1392635,56073,60,22537,5150,14
Agricola (Revised Edition),2016,Help your farm to prosper in this updated; streamlined edition of the acclaimed game.,77,1,4,30,120,7.984,13262,1.43,3.5,1739,680,796731,34425,43,18223,2590,12
The Voyages of Marco Polo,2015,Using unique abilities; fulfill contracts and reach your goals along the Silk Road.,78,2,4,40,100,7.822,22694,1.27,3.19,3283,1005,1497208,82513,37,24855,4660,12
Grand Austria Hotel,2015,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,79,2,4,60,120,7.891,15965,1.27,3.22,2602,781,1087737,67821,93,19069,5322,12
7 Wonders,2010,Draft cards to develop your ancient civilization and build its Wonder of the World.,80,2,7,30,30,7.719,93805,1.27,2.32,14992,6036,4213358,508250,184,125824,12420,10
Lords of Waterdeep,2012,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,81,2,5,60,120,7.746,50566,1.27,2.46,8431,3412,2373240,160482,51,62666,9781,12
Dominant Species,2010,With an ice age approaching; which animals will best propagate; migrate; and adapt?,82,2,6,120,240,7.83,19314,1.51,4.04,4138,1317,1866991,32119,6,20872,6969,14
Kanban EV,2020,EV-factory workers optimize and innovate to stand out at the big board meeting.,83,1,4,60,180,8.554,4183,1.25,4.35,785,1348,546601,10150,23,8714,2903,14
Tainted Grail: The Fall of Avalon,2019,Exploration; battle and diplomacy in a dark Arthurian realm.,84,1,4,60,120,8.201,9424,1.82,3.3,2226,2261,2056313,42366,78,19292,5277,14
Architects of the West Kingdom,2018,Will you be a virtuous or nefarious servant of the king? Build your way to glory.,85,1,5,60,80,7.79,22925,1.17,2.75,3345,1371,1409824,74920,85,32265,6472,12
El Grande,1995,Use your caballeros to control regions of medieval Spain; keeping clear of the King!,86,2,5,60,120,7.745,25444,1.33,3.05,5468,875,1649979,45700,17,24125,5733,12
Keyflower,2012,Compete in a unique auction system to build the most prosperous village.,87,2,6,90,120,7.763,20899,1.31,3.34,3669,970,1633529,54490,10,24188,6183,12
Caylus,2005,Entrepreneurs pay workers & bribe an official to build a Château & gain royal favor.,88,2,5,60,150,7.742,27956,1.47,3.8,6263,1213,2170032,65071,10,27704,5275,12
Sleeping Gods,2021,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",89,1,4,60,1200,8.444,4685,1.46,3.18,1292,1472,1475111,14824,53,11729,11270,13
Battlestar Galactica: The Board Game,2008,How can the human race survive when you don't know who is actually human?,90,3,6,120,180,7.735,34662,1.59,3.25,6961,3316,2617976,77483,12,37373,6310,14
Mombasa,2015,Acquire shares of unique companies and propagate their trading posts to rake in cash.,91,2,4,75,150,7.868,12148,1.26,3.89,1858,478,970946,25117,10,14030,3592,12
Troyes,2010,Defend the city and rise to power by influencing the merchants; knights and clergy.,92,1,4,90,90,7.741,21127,1.33,3.46,3977,1139,1618665,63035,24,24037,5566,12
Dominion: Intrigue,2009,Enlist torturers; swindlers; and saboteurs to gain wealth and dominate the kingdom.,93,2,6,30,30,7.702,31930,1.36,2.42,4339,1105,1129185,102142,3,46269,3094,13
Twilight Imperium: Third Edition,2005,Epic empire-building game of interstellar conflict; trade; and struggle for power.,94,3,6,180,240,7.816,18851,1.71,4.25,4361,2121,2561373,25156,1,20462,4506,14
The Lord of the Rings: Journeys in Middle-Earth,2019,Heroes explore Middle-earth; working together to combat evil in an epic campaign.,95,1,5,60,120,7.975,12751,1.5,2.61,1754,1672,1984867,75208,67,22528,6389,14
Raiders of the North Sea,2015,Gather your Viking crew in order to plunder seas and lands for glory!,96,2,4,60,80,7.761,19938,1.18,2.55,3005,1358,1313519,61041,45,25846,6335,12
Eldritch Horror,2013,An unknown Elder God approaches the world—and you must solve mysteries to stop it.,97,1,8,120,240,7.771,32808,1.53,3.32,5103,3684,3528416,83570,21,48746,8141,14
Lorenzo il Magnifico,2016,Avoid excommunication and lead your family to power during the Italian Renaissance.,98,2,4,60,120,7.877,11739,1.21,3.3,1762,526,898695,33781,27,14661,2931,12
Tigris & Euphrates,1997,Keep your Mesopotamian civilisation in perfect balance through revolutions and wars.,99,2,4,90,90,7.702,26932,1.49,3.5,6783,1108,2121047,62429,54,29918,6833,12
Beyond the Sun,2020,Collectively develop a tech tree to fuel the automation and colonization of space.,100,2,4,60,120,8.008,7950,1.14,3.09,1235,520,754562,28982,103,10480,5402,14
Decrypto,2018,Decipher your opponents' code before they decipher yours. Don't get caught.,101,3,8,15,45,7.787,16398,1.25,1.77,2292,517,635643,54053,44,26514,4596,12
Russian Railroads,2013,Acquire locomotives & industry; build track; and hire the best engineers in Russia.,102,2,4,90,120,7.755,16501,1.29,3.41,2499,654,1060131,58670,23,15487,3933,12
Patchwork,2014,Piece together a quilt and leave no holes to become the button master.,103,2,30,15,15,7.624,55979,1.16,1.62,7312,1645,1590465,272596,254,84997,7386,8
The Isle of Cats,2019,Rescue as many cats as you can before Lord Vesh comes to destroy their home.,104,1,4,60,90,7.837,14723,1.22,2.33,2367,1089,893814,62601,153,25492,5757,8
Rising Sun,2018,Lead your clan to victory through negotiation; combat; monsters and favors from Kami.,105,3,5,90,120,7.811,18630,1.61,3.29,3116,1711,2546251,28954,6,24006,6570,14
Inis,2016,Claim the crown through merit and wisdom in this Celtic island struggle.,106,2,4,60,90,7.817,15870,1.48,2.87,2698,992,1547604,34034,26,20925,7706,14
Trajan,2011,Manage and rule all aspects of Ancient Rome with a clever action selection mancala.,107,2,4,60,120,7.758,16140,1.35,3.65,2912,888,1243993,45120,18,18964,4470,12
Cthulhu: Death May Die,2019,Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.,108,1,5,90,120,8.141,7060,1.43,2.4,1237,1021,1094027,25160,36,12766,3648,14
Clank! In! Space!: A Deck-Building Adventure,2017,Tiptoe your way through Lord Eradikus' spaceship to nab artifacts and an escape pod.,109,2,4,45,90,7.837,11843,1.19,2.54,1694,518,639804,34091,26,17582,3474,12
Trickerion: Legends of Illusion,2015,Magicians perform dazzling tricks for money and fame in a Victorian steampunk world.,110,2,4,60,180,7.959,8518,1.42,4.24,1594,897,1045507,18962,18,12935,3718,14
Dominion,2008,Acquire the most valuable lands by building your deck with treasure and power cards.,111,2,4,30,30,7.606,83992,1.42,2.35,14039,6619,4455633,741437,226,110391,8855,13
Aeon's End: War Eternal,2017,War Eternal is a standalone game compatible with the deck building game Aeon's End.,112,1,4,60,60,8.344,4556,1.26,2.93,825,375,369157,15064,14,10507,1179,14
Codenames,2015,Give your team clever one-word clues to help them spot their agents in the field.,113,2,8,15,15,7.581,78678,1.3,1.28,10340,2064,2384661,506942,163,127567,5979,14
Roll for the Galaxy,2014,Utilize your dice populace to develop technologies; settle worlds; and ship goods.,114,2,5,45,45,7.634,29273,1.33,2.77,4455,1260,1697746,157025,65,35603,7691,13
Pandemic: Iberia,2016,Travel from Barcelona to Lisboa to cure malaria; typhus; yellow fever; and cholera.,115,2,5,45,45,7.91,9304,1.21,2.59,1592,399,582814,23335,11,16428,2872,8
Champions of Midgard,2015,Gain glory by defending a Viking harbor town against trolls; draugr and other beasts.,116,2,4,60,90,7.751,15457,1.25,2.6,2739,801,1106664,35521,16,21781,5147,10
Cartographers,2019,The Queen's cartographers compete to sketch the most efficient maps.,117,1,100,30,45,7.685,20532,1.11,1.89,2711,837,812887,130019,258,35757,4485,10
Yokohama,2016,Claim your fame as the dominant merchant in the Meiji period of Yokohama.,118,2,4,90,90,7.831,10367,1.15,3.29,1860,435,844341,31289,32,13451,2853,14
PARKS,2019,Hike through National Parks tiles; collecting memories and admiring gorgeous scenery.,119,1,5,30,60,7.755,16405,1.19,2.16,2630,1184,982207,53534,104,29576,7188,10
Pandemic,2008,Your team of experts must prevent the world from succumbing to a viral pandemic.,120,2,4,45,45,7.573,113310,1.33,2.41,17837,6951,4164811,379877,117,176944,9499,8
Forbidden Stars,2015,Assemble your armies; devise your strategy; and wage war across the Herakon Cluster.,121,2,4,120,180,7.971,8335,1.46,3.83,1572,882,1369642,13016,2,12751,3446,14
Vinhos: Deluxe Edition,2016,The strategic craft of fine winemaking.,122,1,4,60,135,8.151,5444,1.26,4.05,998,456,621601,11705,22,9966,2928,14
Res Arcana,2019,Rival mages create artifacts; vying for places of power and ancient monuments.,123,2,4,30,60,7.73,16471,1.34,2.62,2470,928,1129991,88798,155,22702,5046,12
Great Western Trail (Second Edition),2021,Wrangle your herd of cows across the Midwest prairie and deliver it to Kansas City.,124,1,4,75,150,8.523,3427,1.31,3.69,513,312,346081,10933,109,7281,2446,12
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,The game is afoot as you and your irregular friends search Victorian London for clues,125,1,8,60,120,7.683,19298,1.44,2.68,3624,1060,1808281,35646,19,36839,7041,13
Kemet,2012,Play as warring Egyptian Gods and build the most powerful army to dominate Egypt.,126,2,5,90,120,7.69,17790,1.33,3.0,2947,913,1618702,28325,9,19803,6405,13
The Search for Planet X,2020,Plan; scan; and theorize to find a new planet at the edge of our solar system.,127,1,4,60,60,8.088,5660,1.17,2.35,970,363,440451,22399,75,11432,4185,13
Age of Steam,2002,Outperform your railroad rivals with shares; auctions; trackbuilding; and deliveries.,128,1,6,120,120,7.812,9892,1.6,3.89,2929,515,1461915,30915,21,10854,2589,13
Targi,2012,A contest between two nomadic tribes along desert trade routes.,129,2,2,60,60,7.64,18912,1.1,2.34,3146,666,937371,59282,65,29962,5384,12
Hansa Teutonica,2009,Build networks of merchants along the roads and market towns of the Hanseatic League.,130,2,5,45,90,7.705,13415,1.37,3.11,2725,619,1117463,40996,28,12232,3107,12
Endeavor: Age of Sail,2018,Spread your glory over the vast; as of yet unexplored world in this updated classic.,131,2,5,60,90,7.948,7849,1.16,2.81,1854,659,708620,17576,20,10706,2682,13
Watergate,2019,Hide or expose the greatest American political scandal in a tug of war for evidence.,132,2,2,30,60,7.868,8455,1.14,2.25,1243,339,483808,25489,48,15485,3245,12
Alchemists,2014,Showcase your alchemical know-how by publishing theories in this app-driven game.,133,2,4,120,120,7.662,20480,1.42,3.92,3125,1005,1274705,39941,22,27106,5115,13
Star Realms,2014,Compete head-to-head to create the most powerful deck of spaceships and bases.,134,2,2,20,20,7.572,40297,1.27,1.94,6422,2264,1651604,380530,262,59082,4061,12
It's a Wonderful World,2019,Draft yourself the ‘perfect’ dystopia; complete projects and churn out resources.,136,1,5,30,60,7.776,12055,1.23,2.3,1751,801,799694,84502,174,17358,4032,14
Legendary Encounters: An Alien Deck Building Game,2014,In space; no one can hear you build a deck of marine & weapon cards to fight aliens.,135,1,5,30,60,7.773,12372,1.36,2.71,2212,1167,1202192,45644,20,17428,4045,17
Obsession,2018,Renovate an estate; manage servants; and pursue romance in Victorian England.,137,1,4,30,90,8.318,4365,1.3,3.14,1261,747,775094,16554,28,7113,4378,14
Stone Age,2008,Travel to the time of hunters and gatherers in this classic game of tools and tribes.,138,2,4,60,90,7.546,48740,1.24,2.47,8264,2178,2306770,193232,77,51918,10081,10
Star Wars: X-Wing Miniatures Game,2012,Pilot your ships in tight arcs to take out the enemy! The universe can be yours.,139,2,2,30,45,7.662,24114,1.43,2.49,3962,3351,3223897,102642,4,39471,2236,14
The Quest for El Dorado,2017,Race through a dense South American jungle in pursuit of the legendary city of gold.,140,2,4,30,60,7.644,17868,1.09,1.93,2780,717,1125962,63234,88,27942,5931,10
Concordia Venus,2018,Traders compete to build the greatest empire in the Roman Mediterranean.,141,2,6,60,120,8.312,3914,1.2,3.07,700,209,435212,9790,12,7366,2067,12
Ticket to Ride: Europe,2005,Build train routes across Europe in this sequel to the hit family board game.,142,2,5,30,60,7.54,66432,1.19,1.93,9533,2395,1621798,198335,125,98104,6053,8
Welcome To...,2018,Design the most appealing 1950s neighborhood; with fences; parks; and swimming pools.,143,1,100,25,25,7.584,24355,1.12,1.82,3172,872,1123280,187798,225,38621,4624,10
Istanbul,2014,Send your assistants through the shops of Istanbul as you race to acquire rubies.,144,2,5,40,60,7.561,28323,1.14,2.59,4156,970,1277784,90989,31,33462,5505,10
The Lord of the Rings: The Card Game,2011,Guide your fellowship as it embarks on unique adventures in Tolkien's Middle-earth!,145,1,2,30,60,7.661,22671,1.55,3.19,4586,3458,4184559,242702,175,35061,3548,13
Just One,2018,Give one-word clues so someone can guess one word; but duplicate clues are discarded.,146,3,7,20,20,7.615,18659,1.19,1.05,2554,407,569594,120647,150,30552,3388,8
That's Pretty Clever!,2018,Draft dice to mark numbers on your scoresheet; comboing bonuses to power your points.,147,1,4,30,30,7.607,19420,1.12,1.88,2681,525,748685,244373,282,30174,2631,8
Rajas of the Ganges,2017,Manage your dice to build profitable markets and grand monuments in historic India.,148,2,4,45,75,7.726,11397,1.15,2.89,1683,420,625561,43411,40,14813,3257,12
Praga Caput Regni,2020,Wealthy citizens of medieval Prague organize building projects to gain king's favor.,149,1,4,45,150,8.035,5752,1.21,3.74,825,439,566941,20008,46,9828,2986,12
Xia: Legends of a Drift System,2014,Pilot your ship to stardom in a massive sci-fi sandbox.,151,3,5,60,180,7.876,8714,1.57,3.18,2007,1411,1418954,19219,18,13518,4839,12
Azul: Summer Pavilion,2019,You're an artisan working on creating striking patterns within a king's palace.,150,2,4,30,45,7.731,11732,1.15,2.06,1496,341,411329,46921,55,19838,3173,8
Marco Polo II: In the Service of the Khan,2019,Travel to cities along the silk road; trading silk; spice; gold & jade along the way.,152,2,4,60,120,8.05,5479,1.14,3.37,741,277,404230,17574,16,7348,2183,12
Chaos in the Old World,2009,Rival chaos gods send forth their minions to spread corruption and destruction.,153,3,4,60,120,7.672,14921,1.48,3.19,3052,1245,1576532,26160,5,15408,4046,13
War of the Ring,2004,Rings; Fellowship; diplomacy and war in the Third Age of Middle Earth.,154,2,4,120,120,7.775,10311,1.63,3.84,3005,808,2098248,13721,1,13219,2148,12
Descent: Journeys in the Dark (Second Edition),2012,Fight the Overlord and level up your heroes in this fantasy dungeon campaign.,155,1,5,120,120,7.649,24141,1.48,3.21,4006,3233,3829504,68092,17,37853,6430,14
Jaipur,2009,Trade and sell goods to become the most wealthy merchant in this short game for two.,156,2,2,30,30,7.5,43829,1.1,1.47,7123,1413,1411471,201999,144,66248,6794,12
